rank,company,industry,revenue,employees,ticker,marketCap,sector,country,exchange,currency
37,Johnson & Johnson,Pharmaceuticals,74331.0,126500.0,JNJ,,,,,
39,MetLife,"Insurance: Life, Health (Stock)",73316.0,68000.0,MET,,,,,
40,Alphabet,Internet Services and Retailing,71487.0,53600.0,GOOGL,,,,,
42,Freddie Mac,Diversified Financials,69367.0,4982.0,FMCC,,,,,
43,Comcast,Telecommunications,68775.0,139000.0,CMCSA,,,,,
44,PepsiCo,Food Consumer Products,66683.0,271000.0,PEP,,,,,
46,AIG,Insurance: Property and Casualty (Stock),64406.0,65000.0,AIG,,,,,
47,UPS,"Mail, Package, and Freight Delivery",58232.0,336150.0,UPS,,,,,
50,Lowe's,Specialty Retailers: Other,56223.0,220500.0,X1G.PA,,,,,
51,ConocoPhillips,"Mining, Crude-Oil Production",55997.0,19100.0,COP,,,,,
52,Intel,Semiconductors and Other Electronic Components,55870.0,106700.0,INTC,,,,,
54,Caterpillar,Construction and Farm Machinery,55184.0,114233.0,CAT,,,,,
55,Prudential Financial,"Insurance: Life, Health (Stock)",54123.0,48331.0,PRU,,,,,
56,Pfizer,Pharmaceuticals,49605.0,78300.0,PFIZER.NS,,,,,
57,Walt Disney,Entertainment,48813.0,180000.0,DIS,,,,,
59,Enterprise Products Partners,Pipelines,47951.0,6900.0,EPD,,,,,
60,Cisco Systems,Network and Other Communications Equipment,47142.0,74042.0,CSCO,,,,,
61,Sysco,Wholesalers: Food and Grocery,46517.0,50300.0,SYY,,,,,
64,Lockheed Martin,Aerospace & Defense,45600.0,112000.0,LMT,,,,,
65,FedEx,"Mail, Package, and Freight Delivery",45567.0,298099.0,FDX,,,,,
67,Plains GP Holdings,Pipelines,43464.0,5300.0,PAGP,,,,,
68,World Fuel Services,Wholesalers: Diversified,43386.0,4041.0,WFK.BE,,,,,
70,American Airlines Group,Airlines,42650.0,113300.0,AAL,,,,,
71,Merck,Pharmaceuticals,42237.0,70000.0,MRK,,,,,
72,Best Buy,Specialty Retailers: Other,41903.0,125000.0,BBY,,,,,
73,Delta Air Lines,Airlines,40362.0,79655.0,DAL,,,,,
76,Goldman Sachs Group,Commercial Banks,40085.0,34000.0,GS,,,,,
80,New York Life Insurance,"Insurance: Life, Health (Mutual)",38680.0,11563.0,601336.SS,,,,,
81,Oracle,Computer Software,38275.0,122000.0,ORCL,,,,,
82,Morgan Stanley,Commercial Banks,37953.0,55802.0,MS,,,,,
83,Tyson Foods,Food Production,37580.0,124000.0,TSN,,,,,
86,Deere,Construction and Farm Machinery,36067.0,59623.0,DE,,,,,
88,American Express,Commercial Banks,35999.0,54000.0,AXP,,,,,
89,Allstate,Insurance: Property and Casualty (Stock),35239.0,39950.0,ALL,,,,,
90,Cigna,Health Care: Insurance and Managed Care,34914.0,37200.0,CI,,,,,
100,General Dynamics,Aerospace & Defense,30852.0,99500.0,GD,,,,,
1,Exxon Mobil Corporation,Petroleum Refining,452926.0,,XOM,,,,,
2,"Wal-Mart Stores, Inc.",General Merchandisers,446950.0,,WMT,,,,,
3,Chevron Corporation,Petroleum Refining,245621.0,,CVX,,,,,
4,ConocoPhillips,Petroleum Refining,237272.0,,COP,,,,,
5,General Motors Company,Motor Vehicles & Parts,150276.0,,GM,,,,,
6,General Electric Company,Diversified Financials,147616.0,,GE,,,,,
8,Fannie Mae,Diversified Financials,137451.0,,FNMA,,,,,
9,Ford Motor Company,Motor Vehicles & Parts,136264.0,,F,,,,,
11,AT&T Inc.,Telecommunications,126723.0,,ATT.L,,,,,
12,Valero Energy Corporation,Petroleum Refining,125095.0,,VLO,,,,,
13,Bank of America Corporation,Commercial Banks,115074.0,,BAC,,,,,
14,McKesson Corporation,Wholesalers: Health Care,112084.0,,MCK,,,,,
15,Verizon Communications Inc.,Telecommunications,110875.0,,VZ,,,,,
16,J.P. Morgan Chase & Co.,Commercial Banks,110838.0,,JPM,,,,,
18,CVS Caremark Corporation,Food & Drug Stores,107750.0,,CVS,,,,,
19,International Business Machines Corporation,Information Technology Services,106916.0,,IBM,,,,,
20,Citigroup Inc.,Commercial Banks,102939.0,,C,,,,,
21,"Cardinal Health, Inc.",Wholesalers: Health Care,102644.2,,CAH,,,,,
22,UnitedHealth Group Incorporated,Health Care: Insurance and Managed Care,101862.0,,UNH,,,,,
23,The Kroger Company,Food & Drug Stores,90374.0,,KR,,,,,
24,Costco Wholesale Corporation,Specialty Retailers: Other,88915.0,,COST,,,,,
25,Freddie Mac,Diversified Financials,88262.0,,FMCC,,,,,
26,Wells Fargo & Company,Commercial Banks,87597.0,,WFC,,,,,
31,Marathon Petroleum Corporation,Petroleum Refining,73645.0,,MPC,,,,,
34,"MetLife, Inc.","Insurance: Life, Health (Stock)",70641.0,,MET,,,,,
35,"The Home Depot, Inc.",Specialty Retailers: Other,70395.0,,THD,,,,,
37,Microsoft Corporation,Computer Software,69943.0,,MSFT,,,,,
38,Target Corporation,General Merchandisers,69865.0,,TGT,,,,,
39,The Boeing Company,Aerospace & Defense,68735.0,,BA,,,,,
40,Pfizer Inc.,Pharmaceuticals,67932.0,,PFIZER.NS,,,,,
41,"PepsiCo, Inc.",Food Consumer Products,66504.0,,PEP,,,,,
42,Johnson & Johnson,Pharmaceuticals,65030.0,,JNJ,,,,,
46,Caterpillar Inc.,Construction and Farm Machinery,60138.0,,CAT,,,,,
47,The Dow Chemical Company,Chemicals,59985.0,,TDC,,,,,
49,Comcast Corporation,Telecommunications,55842.0,,CMCSA,,,,,
51,Intel Corporation,Semiconductors and Other Electronic Components,53999.0,,INTC,,,,,
52,"United Parcel Service, Inc.","Mail, Package, and Freight Delivery",53105.0,,UPS,,,,,
53,"Best Buy Co., Inc.",Specialty Retailers: Other,50272.0,,BBY,,,,,
54,"Lowe's Companies, Inc.",Specialty Retailers: Other,50208.0,,LOW,,,,,
55,"Prudential Financial, Inc.","Insurance: Life, Health (Stock)",49045.0,,PRU,,,,,
57,"Merck & Co., Inc.",Pharmaceuticals,48047.0,,MRK,,,,,
58,Lockheed Martin Corporation,Aerospace & Defense,46692.0,,LMT,,,,,
60,Express Scripts Holding Company,Health Care: Pharmacy and Other Services,46128.3,,ESH.BE,,,,,
62,Enterprise Products Partners L.P.,Pipelines,44313.0,,EPD,,,,,
64,"Cisco Systems, Inc.",Network and Other Communications Equipment,43218.0,,CSCO,,,,,
65,Sears Holdings Corporation,General Merchandisers,41567.0,,SRSCQ,,,,,
66,The Walt Disney Company,Entertainment,40893.0,,DIS,,,,,
67,"Johnson Controls, Inc.",Motor Vehicles & Parts,40833.0,,JCI,,,,,
68,Morgan Stanley,Commercial Banks,39376.0,,MS,,,,,
69,Sysco Corporation,Wholesalers: Food and Grocery,39323.5,,SYY,,,,,
70,FedEx Corporation,"Mail, Package, and Freight Delivery",39304.0,,FDX,,,,,
71,Abbott Laboratories,Pharmaceuticals,38851.3,,ABT,,,,,
76,"United Continental Holdings, Inc.",Airlines,37110.0,,UAL,,,,,
77,Honeywell International Inc.,Aerospace & Defense,37059.0,,HON,,,,,
80,"The Goldman Sachs Group, Inc.",Commercial Banks,36793.0,,TGS,,,,,
82,Oracle Corporation,Computer Software,35622.0,,ORCL,,,,,
83,"Delta Air Lines, Inc.",Airlines,35115.0,,DAL,,,,,
84,Liberty Mutual Holding Company Inc.,Insurance: Property and Casualty (Stock),34671.0,,LBTYA,,,,,
85,World Fuel Services Corporation,Wholesalers: Diversified,34622.9,,WFK.BE,,,,,
86,New York Life Insurance Company,"Insurance: Life, Health (Mutual)",34393.5,,601336.SS,,,,,
87,"Plains All American Pipeline, L.P.",Pipelines,34275.0,,PAA,,,,,
90,Sprint Nextel Corporation,Telecommunications,33679.0,,SIX.AX,,,,,
92,General Dynamics Corporation,Aerospace & Defense,32677.0,,GD,,,,,
93,The Allstate Corporation,Insurance: Property and Casualty (Stock),32654.0,,ALL,,,,,
95,American Express Company,Commercial Banks,32282.0,,AXP,,,,,
96,"Tyson Foods, Inc.",Food Production,32266.0,,TSN,,,,,
97,Deere & Company,Construction and Farm Machinery,32012.5,,DE,,,,,
99,Philip Morris International Inc.,Tobacco,31097.0,,PM,,,,,
1,"Wal-Mart Stores, Inc.",General Merchandisers,378799.0,,WMT,,,,,
2,Exxon Mobil Corporation,Petroleum Refining,372824.0,,XOM,,,,,
3,Chevron Corporation,Petroleum Refining,210783.0,,CVX,,,,,
5,ConocoPhillips,Petroleum Refining,178558.0,,COP,,,,,
6,General Electric Company,Diversified Financials,176656.0,,GE,,,,,
7,Ford Motor Company,Motor Vehicles & Parts,172468.0,,F,,,,,
9,Bank of America Corporation,Commercial Banks,119190.0,,BAC,,,,,
10,AT&T Inc.,Telecommunications,118928.0,,ATT.L,,,,,
12,J.P. Morgan Chase & Co.,Commercial Banks,116353.0,,JPM,,,,,
13,"American International Group,Inc.",Insurance: Property and Casualty (Stock),110064.0,,AIG,,,,,
15,International Business Machines Corporation,Information Technology Services,98786.0,,IBM,,,,,
16,Valero Energy Corporation,Petroleum Refining,96758.0,,VLO,,,,,
17,Verizon Communications Inc.,Telecommunications,93775.0,,VZ,,,,,
18,McKesson Corporation,Wholesalers: Health Care,93574.0,,MCK,,,,,
19,"Cardinal Health, Inc.",Wholesalers: Health Care,88363.9,,CAH,,,,,
20,"The Goldman Sachs Group, Inc.",Securities,87968.0,,TGS,,,,,
21,Morgan Stanley,Securities,87879.0,,MS,,,,,
22,"The Home Depot, Inc.",Specialty Retailers,84740.0,,THD,,,,,
24,CVS Caremark Corporation,Food & Drug Stores,76329.5,,CVS,,,,,
25,UnitedHealth Group Incorporated,Health Care: Insurance and Managed Care,75431.0,,UNH,,,,,
26,The Kroger Company,Food & Drug Stores,70234.7,,KR,,,,,
27,The Boeing Company,Aerospace & Defense,66387.0,,BA,,,,,
29,Costco Wholesale Corporation,Specialty Retailers,64400.2,,COST,,,,,
31,Target Corporation,General Merchandisers,63367.0,,TGT,,,,,
35,Johnson & Johnson,Pharmaceuticals,61095.0,,JNJ,,,,,
41,Wells Fargo & Company,Commercial Banks,53593.0,,WFC,,,,,
42,The Dow Chemical Company,Chemicals,53513.0,,TDC,,,,,
43,"MetLife, Inc.","Insurance: Life, Health (Stock)",53150.0,,MET,,,,,
44,Microsoft Corporation,Computer Software,51122.0,,MSFT,,,,,
45,Sears Holdings Corporation,General Merchandisers,50703.0,,SRSCQ,,,,,
46,"United Parcel Service, Inc.","Mail, Package, and Freight Delivery",49692.0,,UPS,,,,,
47,Pfizer Inc.,Pharmaceuticals,48418.0,,PFIZER.NS,,,,,
48,"Lowe's Companies, Inc.",Specialty Retailers,48283.0,,LOW,,,,,
53,Fannie Mae,Diversified Financials,43355.0,,FNMA,,,,,
54,Freddie Mac,Diversified Financials,43104.0,,FMCC,,,,,
57,Lockheed Martin Corporation,Aerospace & Defense,41862.0,,LMT,,,,,
58,Sprint Nextel Corporation,Telecommunications,40146.0,,SIX.AX,,,,,
59,"PepsiCo, Inc.",Food Consumer Products,39474.0,,PEP,,,,,
60,Intel Corporation,Semiconductors and Other Electronic Components,38334.0,,INTC,,,,,
63,Kraft Foods Inc.,Food Consumer Products,37241.0,,1959.T,,,,,
64,The Allstate Corporation,Insurance: Property and Casualty (Stock),36769.0,,ALL,,,,,
67,The Walt Disney Company,Entertainment,35882.0,,DIS,,,,,
68,FedEx Corporation,"Mail, Package, and Freight Delivery",35214.0,,FDX,,,,,
70,Sysco Corporation,Wholesalers: Food and Grocery,35042.1,,SYY,,,,,
71,"Cisco Systems, Inc.",Network and Other Communications Equipment,34922.0,,CSCO,,,,,
72,"Johnson Controls, Inc.",Motor Vehicles & Parts,34678.0,,JCI,,,,,
73,Honeywell International Inc.,Aerospace & Defense,34589.0,,HON,,,,,
74,"Prudential Financial, Inc.","Insurance: Life, Health (Stock)",34401.0,,PRU,,,,,
75,American Express Company,Diversified Financials,32316.0,,AXP,,,,,
79,Comcast Corporation,Telecommunications,30895.0,,CMCSA,,,,,
87,General Dynamics Corporation,Aerospace & Defense,27294.0,,GD,,,,,
88,"Tyson Foods, Inc.",Food Production,26900.0,,TSN,,,,,
94,Liberty Mutual Holding Company Inc.,Insurance: Property and Casualty (Stock),25961.0,,LBTYA,,,,,
96,Abbott Laboratories,Pharmaceuticals,25914.2,,ABT,,,,,
1,Exxon Mobil Corporation,Petroleum Refining,210392.0,,XOM,,,,,
2,"Wal-Mart Stores, Inc.",General Merchandisers,193295.0,,WMT,,,,,
4,Ford Motor Company,Motor Vehicles & Parts,180598.0,,F,,,,,
5,General Electric Company,Diversified Financials,129853.0,,GE,,,,,
6,"Citigroup, Inc.",Diversified Financials,111826.0,,C,,,,,
8,International Business Machines Corporation,"Computers, Office Equipment",88396.0,,IBM,,,,,
10,Verizon Communications Inc.,Telecommunications,64707.0,,VZ,,,,,
12,J.P. Morgan Chase & Co.,Commercial Banks,60065.0,,JPM,,,,,
13,Bank of America Corporation,Commercial Banks,57747.0,,BAC,,,,,
15,The Boeing Company,Aerospace & Defense,51321.0,,BA,,,,,
18,The Kroger Company,Food & Drug Stores,49000.4,,KR,,,,,
20,Chevron Corporation,Petroleum Refining,48069.0,,CVX,,,,,
22,"American International Group,Inc.",Insurance: Property and Casualty (Stock),45972.0,,AIG,,,,,
26,Fannie Mae,Diversified Financials,44088.9,,FNMA,,,,,
30,"Merck & Co., Inc.",Pharmaceuticals,40363.2,,MRK,,,,,
34,"Motorola, Inc.",Network and Other Communications Equipment,37580.0,,MSI,,,,,
37,Target Corporation,General Merchandisers,36903.0,,TGT,,,,,
41,Intel Corporation,Semiconductors and Other Electronic Components,33726.0,,INTC,,,,,
45,Costco Wholesale Corporation,Specialty Retailers,32164.3,,COST,,,,,
50,Freddie Mac,Diversified Financials,30000.0,,FMCC,,,,,
51,"Cardinal Health, Inc.",Wholesalers: Health Care,29870.6,,CAH,,,,,
57,Johnson & Johnson,Pharmaceuticals,29139.0,,JNJ,,,,,
59,The Allstate Corporation,Insurance: Property and Casualty (Stock),29134.0,,ALL,,,,,
67,The Walt Disney Company,Entertainment,25402.0,,DIS,,,,,
69,Lockheed Martin Corporation,Aerospace & Defense,25329.0,,LMT,,,,,
71,Honeywell International Inc.,Aerospace & Defense,25023.0,,HON,,,,,
74,American Express Company,Diversified Financials,23675.0,,AXP,,,,,
77,"Alcoa, Inc.",Metals,23090.0,,AA,,,,,
79,Microsoft Corporation,Computer Software,22956.0,,MSFT,,,,,
94,"PepsiCo, Inc.",Beverages,20438.0,,PEP,,,,,
99,"Caterpillar, Inc.",Industrial and Farm Equipment,20175.0,,CAT,,,,,
1,Exxon Mobil Corporation,Petroleum Refining,339938.0,,XOM,,,,,
2,"Wal-Mart Stores, Inc.",General Merchandisers,315654.0,,WMT,,,,,
4,Chevron Corporation,Petroleum Refining,189481.0,,CVX,,,,,
5,Ford Motor Company,Motor Vehicles & Parts,177210.0,,F,,,,,
6,ConocoPhillips,Petroleum Refining,166683.0,,COP,,,,,
7,General Electric Company,Diversified Financials,157153.0,,GE,,,,,
8,"Citigroup, Inc.",Commercial Banks,131045.0,,C,,,,,
9,"American International Group,Inc.",Insurance: Property and Casualty (Stock),108905.0,,AIG,,,,,
10,International Business Machines Corporation,"Computers, Office Equipment",91134.0,,IBM,,,,,
12,Bank of America Corporation,Commercial Banks,83980.0,,BAC,,,,,
15,Valero Energy Corporation,Petroleum Refining,81362.0,,VLO,,,,,
16,McKesson Corporation,Wholesalers: Health Care,80514.6,,MCK,,,,,
17,J.P. Morgan Chase & Co.,Commercial Banks,79902.0,,JPM,,,,,
18,Verizon Communications Inc.,Telecommunications,75111.9,,VZ,,,,,
19,"Cardinal Health, Inc.",Wholesalers: Health Care,74915.1,,CAH,,,,,
20,"Altria Group, Inc.",Tobacco,69148.0,,MO,,,,,
21,The Kroger Company,Food & Drug Stores,60552.9,,KR,,,,,
26,The Boeing Company,Aerospace & Defense,54848.0,,BA,,,,,
28,Costco Wholesale Corporation,Specialty Retailers,52935.2,,COST,,,,,
29,Target Corporation,General Merchandisers,52620.0,,TGT,,,,,
30,Morgan Stanley,Securities,52498.0,,MS,,,,,
31,Pfizer Inc.,Pharmaceuticals,51353.0,,PFIZER.NS,,,,,
32,Johnson & Johnson,Pharmaceuticals,50514.0,,JNJ,,,,,
35,"MetLife, Inc.","Insurance: Life, Health (Stock)",46983.0,,MET,,,,,
37,UnitedHealth Group Incorporated,Health Care: Insurance and Managed Care,45365.0,,UNH,,,,,
39,AT&T Inc.,Telecommunications,43862.0,,ATT.L,,,,,
40,Time Warner Inc.,Entertainment,43652.0,,T,,,,,
41,"The Goldman Sachs Group, Inc.",Securities,43391.0,,TGS,,,,,
42,"Lowe's Companies, Inc.",Specialty Retailers,43243.0,,LOW,,,,,
44,"United Parcel Service, Inc.","Mail, Package, and Freight Delivery",42581.0,,UPS,,,,,
46,Wells Fargo & Company,Commercial Banks,40407.0,,WFC,,,,,
48,Microsoft Corporation,Computer Software,39788.0,,MSFT,,,,,
49,Intel Corporation,Semiconductors and Other Electronic Components,38826.0,,INTC,,,,,
52,Lockheed Martin Corporation,Aerospace & Defense,37213.0,,LMT,,,,,
53,CVS Corporation,Food & Drug Stores,37006.2,,CVS,,,,,
54,"Motorola, Inc.",Network and Other Communications Equipment,36843.0,,MSI,,,,,
55,"Caterpillar, Inc.",Industrial and Farm Equipment,36339.0,,CAT,,,,,
58,The Allstate Corporation,Insurance: Property and Casualty (Stock),35383.0,,ALL,,,,,
61,"PepsiCo, Inc.",Food Consumer Products,32562.0,,PEP,,,,,
62,"Lehman Brothers Holdings, Inc.",Securities,32420.0,,LEHNQ,,,,,
63,The Walt Disney Company,Entertainment,31944.0,,DIS,,,,,
64,"Prudential Financial, Inc.","Insurance: Life, Health (Stock)",31708.0,,PRU,,,,,
65,"Plains All American Pipeline, L.P.",Pipelines,31177.3,,PAA,,,,,
67,Northrop Grumman Corporation,Aerospace & Defense,30721.0,,NOC,,,,,
68,Sysco Corporation,Wholesalers: Food and Grocery,30281.9,,SYY,,,,,
69,American Express Company,Diversified Financials,30080.0,,AXP,,,,,
70,FedEx Corporation,"Mail, Package, and Freight Delivery",29363.0,,FDX,,,,,
71,Honeywell International Inc.,Aerospace & Defense,28862.0,,HON,,,,,
75,"Johnson Controls, Inc.",Motor Vehicles & Parts,28019.5,,JCI,,,,,
76,Best Buy Co. Inc.,Specialty Retailers,27433.0,,BBY,,,,,
78,The Hartford Financial Services Group Inc.,Insurance: Property and Casualty (Stock),27083.0,,HFF.BE,,,,,
79,"Alcoa, Inc.",Metals,26601.0,,AA,,,,,
80,"Tyson Foods, Inc.",Food Production,26014.0,,TSN,,,,,
82,International Paper Company,Forest and Paper Products,25797.0,,IP,,,,,
83,"Cisco Systems, Inc.",Network and Other Communications Equipment,24801.0,,CSCO,,,,,
92,Massachusetts Financial Group,"Insurance: Life, Health (Mutual)",22798.8,,MFG.AX,,,,,
93,Abbott Laboratories,Pharmaceuticals,22337.8,,ABT,,,,,
94,Comcast Corporation,Telecommunications,22255.0,,CMCSA,,,,,
95,"Merck & Co., Inc.",Pharmaceuticals,22011.9,,MRK,,,,,
96,Deere & Company,Industrial and Farm Equipment,21930.5,,DE,,,,,
100,General Dynamics Corporation,Aerospace & Defense,21290.0,,GD,,,,,
1,"Wal-Mart Stores, Inc.",General Merchandisers,351139.0,,WMT,,,,,
2,Exxon Mobil Corporation,Petroleum Refining,347254.0,,XOM,,,,,
4,Chevron Corporation,Petroleum Refining,200567.0,,CVX,,,,,
5,ConocoPhillips,Petroleum Refining,172451.0,,COP,,,,,
6,General Electric Company,Diversified Financials,168307.0,,GE,,,,,
7,Ford Motor Company,Motor Vehicles & Parts,160126.0,,F,,,,,
8,"Citigroup, Inc.",Commercial Banks,146777.0,,C,,,,,
9,Bank of America Corporation,Commercial Banks,117017.0,,BAC,,,,,
10,"American International Group,Inc.",Insurance: Property and Casualty (Stock),113194.0,,AIG,,,,,
11,J.P. Morgan Chase & Co.,Commercial Banks,99973.0,,JPM,,,,,
13,Verizon Communications Inc.,Telecommunications,93221.0,,VZ,,,,,
15,International Business Machines Corporation,"Computers, Office Equipment",91424.0,,IBM,,,,,
16,Valero Energy Corporation,Petroleum Refining,91051.0,,VLO,,,,,
18,McKesson Corporation,Wholesalers: Health Care,88050.0,,MCK,,,,,
19,"Cardinal Health, Inc.",Wholesalers: Health Care,81895.1,,CAH,,,,,
20,Morgan Stanley,Securities,76688.0,,MS,,,,,
21,UnitedHealth Group Incorporated,Health Care: Insurance and Managed Care,71542.0,,UNH,,,,,
23,"Altria Group, Inc.",Tobacco,70324.0,,MO,,,,,
24,"The Goldman Sachs Group, Inc.",Securities,69353.0,,TGS,,,,,
26,The Kroger Company,Food & Drug Stores,66111.2,,KR,,,,,
27,AT&T Inc.,Telecommunications,63055.0,,ATT.L,,,,,
28,The Boeing Company,Aerospace & Defense,61530.0,,BA,,,,,
32,Costco Wholesale Corporation,Specialty Retailers,60151.2,,COST,,,,,
33,Target Corporation,General Merchandisers,59490.0,,TGT,,,,,
36,Johnson & Johnson,Pharmaceuticals,53324.0,,JNJ,,,,,
37,"MetLife, Inc.","Insurance: Life, Health (Stock)",53275.0,,MET,,,,,
39,Pfizer Inc.,Pharmaceuticals,52415.0,,PFIZER.NS,,,,,
40,The Dow Chemical Company,Chemicals,49124.0,,TDC,,,,,
41,Wells Fargo & Company,Commercial Banks,47979.0,,WFC,,,,,
43,"United Parcel Service, Inc.","Mail, Package, and Freight Delivery",47547.0,,UPS,,,,,
45,"Lowe's Companies, Inc.",Specialty Retailers,46927.0,,LOW,,,,,
47,"Lehman Brothers Holdings, Inc.",Securities,46709.0,,LEHNQ,,,,,
48,Time Warner Inc.,Entertainment,44788.0,,T,,,,,
49,Microsoft Corporation,Computer Software,44282.0,,MSFT,,,,,
50,Freddie Mac,Diversified Financials,44002.0,,FMCC,,,,,
52,"Motorola, Inc.",Network and Other Communications Equipment,43739.0,,MSI,,,,,
55,"Caterpillar, Inc.",Industrial and Farm Equipment,41517.0,,CAT,,,,,
57,Lockheed Martin Corporation,Aerospace & Defense,39620.0,,LMT,,,,,
61,The Allstate Corporation,Insurance: Property and Casualty (Stock),35796.0,,ALL,,,,,
62,Intel Corporation,Semiconductors and Other Electronic Components,35382.0,,INTC,,,,,
63,"PepsiCo, Inc.",Food Consumer Products,35137.0,,PEP,,,,,
64,The Walt Disney Company,Entertainment,34285.0,,DIS,,,,,
65,Sysco Corporation,Wholesalers: Food and Grocery,32628.4,,SYY,,,,,
66,"Prudential Financial, Inc.","Insurance: Life, Health (Stock)",32488.0,,PRU,,,,,
67,"Johnson Controls, Inc.",Motor Vehicles & Parts,32413.0,,JCI,,,,,
68,FedEx Corporation,"Mail, Package, and Freight Delivery",32294.0,,FDX,,,,,
69,Honeywell International Inc.,Aerospace & Defense,31367.0,,HON,,,,,
71,"Alcoa, Inc.",Metals,30896.0,,AA,,,,,
72,Best Buy Co. Inc.,Specialty Retailers,30848.0,,BBY,,,,,
73,Northrop Grumman Corporation,Aerospace & Defense,30304.0,,NOC,,,,,
76,"Federated Department Stores, Inc.",General Merchandisers,28711.0,,FHI,,,,,
77,"Cisco Systems, Inc.",Network and Other Communications Equipment,28484.0,,CSCO,,,,,
79,American Express Company,Diversified Financials,27145.0,,AXP,,,,,
82,The Hartford Financial Services Group Inc.,Insurance: Property and Casualty (Stock),26500.0,,HFF.BE,,,,,
84,Comcast Corporation,Telecommunications,25700.0,,CMCSA,,,,,
86,"Tyson Foods, Inc.",Food Production,25559.0,,TSN,,,,,
89,"The Travelers Companies, Inc.",Insurance: Property and Casualty (Stock),25090.0,,TTC,,,,,
90,Massachusetts Financial Group,"Insurance: Life, Health (Mutual)",24863.4,,MFG.AX,,,,,
92,General Dynamics Corporation,Aerospace & Defense,24212.0,,GD,,,,,
93,International Paper Company,Forest and Paper Products,24186.0,,IP,,,,,
97,3M Company,zMiscellaneous,22923.0,,MMM,,,,,
98,Deere & Company,Industrial and Farm Equipment,22768.9,,DE,,,,,
99,"Merck & Co., Inc.",Pharmaceuticals,22636.0,,MRK,,,,,
2,"Wal-Mart Stores, Inc.",General Merchandisers,166809.0,,WMT,,,,,
3,Exxon Mobil Corporation,Petroleum Refining,163881.0,,XOM,,,,,
4,Ford Motor Company,Motor Vehicles & Parts,162558.0,,F,,,,,
5,General Electric Company,Diversified Financials,111630.0,,GE,,,,,
6,International Business Machines Corporation,"Computers, Office Equipment",87548.0,,IBM,,,,,
7,"Citigroup, Inc.",Diversified Financials,82005.0,,C,,,,,
8,AT&T Corp.,Telecommunications,62391.0,,ATT.L,,,,,
9,Philip Morris Companies Inc.,Tobacco,61751.0,,TABAK.PR,,,,,
10,The Boeing Company,Aerospace & Defense,57993.0,,BA,,,,,
11,Bank of America Corporation,Commercial Banks,51392.0,,BAC,,,,,
14,The Kroger Company,Food & Drug Stores,45351.6,,KR,,,,,
17,"American International Group,Inc.",Insurance: Property and Casualty (Stock),40656.1,,AIG,,,,,
26,Fannie Mae,Diversified Financials,36968.6,,FNMA,,,,,
30,Morgan Stanley Dean Witter & Co.,Securities,33928.0,,MS,,,,,
32,Target,General Merchandisers,33702.0,,TGT,,,,,
34,"Merck & Co., Inc.",Pharmaceuticals,32714.0,,MRK,,,,,
35,Chevron Corporation,Petroleum Refining,32676.0,,CVX,,,,,
37,"Motorola, Inc.","Electronics, Electrical Equipment",30931.0,,MSI,,,,,
38,McKesson HBOC Inc.,Wholesalers,30382.3,,MCK,,,,,
39,Intel Corporation,Semiconductors,29389.0,,INTC,,,,,
43,Johnson & Johnson,Pharmaceuticals,27471.0,,JNJ,,,,,
44,Costco Wholesale Corporation,Specialty Retailers,27456.0,,COST,,,,,
45,Time Warner Inc.,Entertainment,27333.0,,T,,,,,
46,"United Parcel Service of America, Inc.","Mail, Package, and Freight Delivery",27052.0,,UPS,,,,,
47,The Allstate Corporation,Insurance: Property and Casualty (Stock),26959.0,,ALL,,,,,
52,Lockheed Martin Corporation,Aerospace & Defense,25530.0,,LMT,,,,,
54,"Goldman Sachs Group, Inc.",Securities,25363.0,,GS,,,,,
59,"Cardinal Health, Inc.",Wholesalers,25033.6,,CAH,,,,,
61,International Paper Company,Forest and Paper Products,24573.0,,IP,,,,,
62,Freddie Mac,Diversified Financials,24268.0,,FMCC,,,,,
63,"AutoNation, Inc.","Automotive Retailing, Services",24206.6,,AN,,,,,
65,Honeywell International Inc.,Aerospace & Defense,23735.0,,HON,,,,,
66,The Walt Disney Company,Entertainment,23402.0,,DIS,,,,,
67,First Union Corporation,Commercial Banks,22084.0,,FHN,,,,,
68,Wells Fargo & Co.,Commercial Banks,21795.0,,WFC,,,,,
69,Duke Energy Corporation,Utilities: Gas and Electric,21742.0,,DUK,,,,,
71,American Express Company,Diversified Financials,21278.0,,AXP,,,,,
72,Loews Corporation,Insurance: Property and Casualty (Stock),20952.6,,L,,,,,
74,Conoco,Petroleum Refining,20817.0,,COP,,,,,
75,CIGNA Corporation,Health Care,20644.0,,CI,,,,,
76,"PepsiCo, Inc.",Beverages,20367.0,,PEP,,,,,
84,Microsoft Corporation,Computer Software,19747.0,,MSFT,,,,,
85,"Caterpillar, Inc.",Industrial and Farm Equipment,19702.0,,CAT,,,,,
86,"UnitedHealth Group, Incorporated",Health Care,19562.0,,UNH,,,,,
93,CVS Corporation,Food & Drug Stores,18098.3,,CVS,,,,,
98,Sysco Corporation,Wholesalers,17422.8,,SYY,,,,,
1,Exxon Mobil Corporation,Petroleum Refining,442851.0,,XOM,,,,,
2,"Wal-Mart Stores, Inc.",General Merchandisers,405607.0,,WMT,,,,,
3,Chevron Corporation,Petroleum Refining,263159.0,,CVX,,,,,
4,ConocoPhillips,Petroleum Refining,230764.0,,COP,,,,,
5,General Electric Company,Diversified Financials,183207.0,,GE,,,,,
